"s_rub_id";"s_rub_nom";"s_rub_rub_id"
"1";"Guitares Electriques";"1"
"2";"Guitares Classiques";"1"
"3";"Guitares Acoustiques";"1"
"4";"Basses Electriques";"1"
"5";"Basses Acoustiques";"1"
"6";"Ukulélés";"1"
"7";"Batteries Acoustiques";"2"
"8";"Batteries Electroniques";"2"
"9";"Cymbales";"2"
"10";"Baguettes et Maillets";"2"
"11";"Percussions";"2"
"12";"Claviers Arrangeurs";"3"
"13";"Synthétiseurs";"3"
"14";"Claviers Maîtres";"3"
"15";"Pianos de Scène";"3"
"16";"Pianos Numériques";"3"
"17";"Pianos à Queue";"3"
"18";"Accordéons";"3"
"19";"Interfaces Audio";"4"
"20";"Microphones";"4"
"21";"Logiciels Studio";"4"
"22";"Enregistreurs Numériques";"4"
"23";"Casques et Amplificateurs";"4"
"24";"Consoles Numériques";"4"
"25";"Enceintes";"5"
"26";"Tables de Mixage";"5"
"27";"Amplificateurs";"5"
"28";"Microphones";"5"
"29";"Pieds";"5"
"30";"Câbles";"5"
"31";"Projecteurs";"6"
"32";"Eclairage";"6"
"33";"Machines à fumée";"6"
"34";"Lasers";"6"
"35";"Stroboscopes";"6"
"36";"Contrôleurs DJ";"7"
"37";"Lecteurs";"7"
"38";"Platines";"7"
"39";"Tables de Mixage";"7"
"40";"Logiciels DJ";"7"
"41";"Effets DJ";"7"
"42";"Casques DJ";"7"
"43";"Flight Cases";"8"
"44";"Housses et Etuis";"8"
"45";"Mobilier de Studio";"8"
"46";"Systèmes de Transport";"8"
"47";"Racks";"8"
"48";"Sièges";"9"
"49";"Protections";"9"
"50";"Métronomes";"9"
"51";"Baguettes";"9"
"52";"Entretiens";"9"
